serie,iteracion,puntos_corte,rmse_medio,tiempo
serie_3,3,"[1, 48, 55, 236, 383, 390, 480, 488, 553, 569, 671, 700, 725, 730, 781, 816, 842, 951, 981]",0.960900,0.001107
serie_3,4,"[16, 73, 76, 84, 96, 193, 231, 239, 285, 320, 436, 470, 498, 522, 593, 720, 885, 943, 966]",0.957195,0.001067
serie_3,5,"[38, 146, 198, 231, 367, 377, 431, 449, 483, 557, 627, 658, 675, 693, 705, 739, 785, 818, 833]",0.958243,0.001053
serie_3,6,"[34, 96, 100, 186, 245, 295, 330, 333, 353, 400, 401, 492, 562, 570, 618, 622, 652, 692, 733]",0.963410,0.001038
serie_3,7,"[7, 92, 160, 220, 231, 240, 249, 284, 405, 412, 467, 631, 698, 734, 831, 835, 841, 850, 960]",0.963530,0.001097
serie_3,8,"[78, 116, 172, 193, 312, 343, 380, 393, 468, 590, 630, 677, 703, 709, 823, 918, 939, 951, 976]",0.956170,0.001090
serie_3,9,"[103, 132, 139, 222, 228, 263, 370, 535, 560, 593, 605, 619, 692, 698, 848, 884, 933, 950, 997]",0.962998,0.001065
serie_3,10,"[12, 27, 64, 126, 213, 243, 299, 330, 359, 454, 659, 665, 666, 668, 687, 777, 802, 831, 845]",0.960565,0.001046
serie_3,11,"[112, 165, 239, 303, 337, 349, 395, 491, 507, 532, 559, 587, 696, 738, 860, 923, 926, 951, 958]",0.963020,0.001078
serie_3,12,"[11, 359, 364, 402, 423, 447, 454, 527, 557, 590, 650, 706, 722, 750, 770, 825, 906, 911, 994]",0.958404,0.001125
serie_3,13,"[27, 93, 145, 146, 213, 239, 299, 418, 426, 454, 565, 617, 669, 670, 672, 722, 839, 868, 998]",0.956659,0.001104
serie_3,14,"[52, 132, 151, 218, 230, 240, 307, 312, 315, 331, 347, 368, 387, 574, 626, 627, 686, 826, 887]",0.960799,0.001073
serie_3,15,"[63, 73, 139, 140, 168, 189, 217, 234, 286, 358, 617, 704, 733, 770, 771, 801, 898, 914, 997]",0.964167,0.001061
serie_3,16,"[63, 96, 112, 141, 156, 167, 225, 238, 243, 334, 458, 490, 625, 627, 680, 724, 737, 862, 970]",0.963367,0.001040
serie_3,17,"[73, 141, 152, 234, 249, 405, 431, 455, 530, 560, 742, 750, 782, 815, 818, 829, 879, 963, 979]",0.957750,0.001031
serie_3,18,"[55, 127, 165, 175, 222, 241, 301, 360, 389, 439, 479, 490, 523, 571, 581, 636, 639, 683, 965]",0.961384,0.001030
serie_3,19,"[8, 68, 125, 156, 249, 331, 426, 506, 568, 650, 660, 768, 810, 817, 848, 874, 892, 905, 948]",0.954928,0.001024
serie_3,20,"[11, 31, 118, 143, 148, 160, 311, 317, 397, 405, 425, 509, 739, 777, 792, 806, 860, 885, 983]",0.957427,0.001023
serie_3,21,"[35, 101, 190, 218, 285, 298, 388, 411, 455, 566, 593, 649, 746, 778, 893, 907, 926, 929, 974]",0.957148,0.001035
serie_3,22,"[61, 74, 127, 263, 285, 354, 378, 474, 581, 614, 662, 679, 745, 790, 807, 869, 884, 908, 951]",0.960189,0.001029
serie_3,23,"[10, 125, 139, 201, 234, 276, 295, 331, 344, 477, 495, 647, 697, 747, 751, 758, 804, 869, 987]",0.958886,0.001083
serie_3,24,"[9, 14, 34, 40, 56, 132, 168, 313, 331, 436, 462, 583, 711, 802, 862, 873, 914, 925, 992]",0.958181,0.001065
serie_3,25,"[162, 174, 226, 305, 325, 400, 518, 535, 625, 684, 801, 805, 831, 834, 848, 858, 872, 902, 998]",0.959925,0.001056
serie_3,26,"[14, 101, 178, 207, 262, 291, 368, 374, 405, 565, 585, 627, 631, 675, 800, 824, 862, 982, 999]",0.957144,0.001060
serie_3,27,"[123, 194, 215, 297, 310, 315, 348, 376, 386, 391, 405, 458, 468, 556, 585, 729, 797, 980, 993]",0.958339,0.001203
serie_3,28,"[29, 45, 58, 141, 142, 184, 243, 276, 386, 392, 436, 573, 709, 789, 859, 869, 873, 961, 978]",0.955573,0.001119
serie_3,29,"[139, 148, 270, 331, 366, 388, 391, 409, 443, 514, 537, 570, 690, 698, 830, 847, 907, 929, 955]",0.957863,0.001055
serie_3,30,"[42, 71, 103, 274, 300, 318, 331, 360, 363, 426, 471, 539, 621, 667, 759, 832, 870, 941, 997]",0.959408,0.001051
serie_3,31,"[7, 24, 94, 110, 181, 211, 321, 322, 392, 431, 493, 546, 730, 793, 894, 908, 935, 950, 995]",0.955782,0.001050
serie_3,32,"[67, 73, 77, 82, 87, 135, 183, 208, 248, 261, 419, 514, 536, 573, 613, 758, 779, 799, 990]",0.963196,0.001045
serie_3,33,"[48, 121, 126, 223, 296, 486, 536, 605, 656, 689, 694, 724, 727, 789, 838, 843, 852, 958, 988]",0.960721,0.001024
serie_3,34,"[14, 18, 124, 257, 264, 275, 305, 332, 376, 517, 520, 600, 682, 687, 718, 903, 916, 970, 988]",0.955712,0.001032
serie_3,35,"[67, 77, 120, 150, 236, 260, 314, 398, 429, 514, 580, 615, 649, 674, 710, 711, 714, 771, 870]",0.955453,0.001025
serie_3,36,"[18, 108, 157, 162, 167, 177, 222, 255, 374, 382, 415, 536, 542, 603, 696, 755, 787, 803, 804]",0.961083,0.001039
serie_3,37,"[17, 78, 109, 112, 150, 175, 217, 249, 279, 287, 294, 324, 699, 736, 836, 880, 924, 959, 969]",0.959056,0.001037
serie_3,38,"[15, 68, 72, 101, 181, 230, 326, 340, 359, 375, 389, 466, 474, 545, 672, 908, 953, 965, 980]",0.952811,0.001032
serie_3,39,"[53, 90, 93, 201, 203, 237, 332, 342, 419, 479, 579, 580, 667, 701, 714, 797, 808, 824, 857]",0.963047,0.001129
serie_3,40,"[152, 159, 182, 242, 269, 286, 319, 327, 364, 374, 388, 403, 528, 529, 537, 545, 570, 691, 858]",0.963881,0.001053
serie_3,41,"[222, 255, 277, 297, 425, 494, 508, 562, 567, 591, 598, 632, 777, 881, 887, 889, 935, 955, 974]",0.955383,0.001041
serie_3,42,"[12, 172, 179, 192, 233, 255, 316, 371, 376, 394, 584, 667, 700, 845, 869, 911, 936, 960, 988]",0.961089,0.001185
serie_3,43,"[23, 24, 55, 73, 117, 238, 260, 307, 365, 518, 546, 613, 657, 659, 736, 816, 876, 886, 960]",0.961239,0.001103
serie_3,44,"[68, 237, 341, 348, 354, 430, 513, 530, 607, 613, 737, 845, 879, 882, 933, 943, 968, 971, 999]",0.955158,0.001047
serie_3,45,"[77, 88, 127, 233, 266, 321, 337, 344, 429, 508, 516, 577, 702, 732, 772, 778, 824, 885, 906]",0.959530,0.001044
serie_3,46,"[24, 82, 112, 126, 131, 186, 218, 280, 291, 300, 407, 429, 527, 552, 599, 615, 657, 690, 912]",0.956402,0.001062
serie_3,47,"[11, 81, 174, 203, 283, 387, 404, 425, 502, 649, 674, 712, 722, 745, 769, 811, 848, 853, 866]",0.956038,0.001037
serie_3,48,"[12, 53, 78, 105, 225, 334, 406, 420, 449, 481, 494, 547, 592, 628, 699, 724, 776, 859, 987]",0.955004,0.001028
serie_3,49,"[22, 112, 171, 252, 274, 295, 315, 373, 502, 581, 642, 646, 696, 705, 722, 815, 819, 932, 944]",0.960008,0.001090
serie_3,50,"[37, 59, 70, 142, 147, 199, 330, 482, 510, 537, 566, 572, 644, 726, 732, 785, 817, 963, 989]",0.960434,0.001030
serie_3,51,"[75, 136, 158, 191, 199, 239, 259, 365, 397, 607, 619, 634, 669, 760, 784, 833, 920, 934, 949]",0.964293,0.001035
serie_3,52,"[20, 88, 311, 344, 374, 454, 501, 574, 576, 638, 642, 646, 654, 668, 672, 851, 920, 939, 993]",0.953409,0.001033
serie_3,53,"[78, 121, 179, 279, 281, 316, 369, 501, 503, 598, 735, 776, 843, 876, 904, 918, 971, 990, 998]",0.957765,0.001040
serie_3,54,"[19, 32, 94, 154, 270, 287, 364, 404, 485, 538, 684, 717, 721, 751, 827, 863, 866, 868, 993]",0.959116,0.001037
serie_3,55,"[127, 150, 176, 256, 271, 286, 357, 398, 510, 524, 587, 601, 631, 687, 728, 845, 879, 937, 944]",0.962403,0.001040
serie_3,56,"[126, 288, 337, 347, 354, 366, 424, 468, 471, 486, 487, 533, 536, 606, 616, 642, 689, 745, 940]",0.961706,0.001039
serie_3,57,"[11, 60, 79, 172, 178, 201, 233, 271, 287, 342, 377, 640, 677, 691, 780, 801, 838, 841, 978]",0.960813,0.001058
serie_3,58,"[36, 49, 79, 141, 142, 143, 166, 269, 343, 400, 453, 466, 549, 566, 670, 780, 857, 919, 997]",0.962701,0.001050
serie_3,59,"[3, 105, 110, 131, 149, 182, 219, 266, 361, 371, 396, 463, 623, 643, 705, 757, 844, 942, 960]",0.962880,0.001061
serie_3,60,"[82, 127, 164, 169, 363, 435, 490, 565, 581, 597, 656, 707, 736, 748, 782, 856, 890, 918, 977]",0.960805,0.001044
serie_3,61,"[71, 150, 152, 171, 181, 424, 435, 480, 522, 630, 642, 730, 764, 821, 826, 827, 870, 962, 987]",0.956748,0.001055
serie_3,62,"[8, 17, 19, 99, 100, 115, 379, 525, 528, 545, 556, 599, 671, 766, 850, 917, 938, 941, 976]",0.957628,0.001062
serie_3,63,"[19, 50, 78, 85, 157, 215, 236, 293, 349, 373, 438, 524, 532, 684, 691, 810, 819, 885, 987]",0.959592,0.001031
serie_3,64,"[30, 50, 83, 171, 281, 301, 391, 394, 409, 445, 458, 528, 530, 564, 571, 699, 715, 727, 938]",0.960841,0.001031
